id,word,language,definition,part_of_speech,example,tag,usage_count,created_at,updated_at
1087,"abstemious",en,"有节制的，节俭的","adjective","He led an abstemious lifestyle.","GRE",0,2025-11-06 05:15:54,2025-11-06 05:15:54
505,"abstract",en,"抽象的","adjective","The concept is too abstract for children.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
347,"abundant",en,"丰富的，充裕的","adjective","The region has abundant natural resources.","",2,2025-11-05 15:19:07,2025-11-05 15:19:07
506,"academic",en,"学术的","adjective","She has a strong academic background.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
507,"accelerate",en,"加速","verb","The car accelerated quickly on the highway.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
508,"accent",en,"口音","noun","He has a British accent.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
509,"accept",en,"接受","verb","I accept your apology.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
434,"access",en,"进入；使用权；访问","noun","Students have access to the library resources.","",2,2025-11-05 15:19:07,2025-11-05 15:19:07
510,"accident",en,"事故","noun","He was injured in a car accident.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
1181,"accolade",en,"荣誉，赞扬","noun","She received many accolades for her work.","GRE",0,2025-11-06 05:15:54,2025-11-06 05:15:54
448,"accommodate",en,"容纳，适应","verb","The hotel can accommodate up to 200 guests.","六级",0,2025-11-06 05:12:58,2025-11-06 05:12:58
1008,"accommodation",en,"住宿","noun","The university provides accommodation for international students.","雅思",0,2025-11-06 05:15:54,2025-11-06 05:15:54
511,"accompany",en,"陪伴","verb","She will accompany me to the party.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
512,"accomplish",en,"完成","verb","We accomplished our goal on time.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
513,"accord",en,"一致","noun","The decision was in accord with the rules.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
634,"accordance",en,"一致","noun","We acted in accordance with the rules.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
514,"account",en,"账户","noun","I opened a bank account yesterday.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
515,"accumulate",en,"积累","verb","He has accumulated a lot of wealth.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
370,"accurate",en,"准确的；精确的","adjective","His watch is very accurate.","",2,2025-11-05 15:19:07,2025-11-05 15:19:07
516,"accuse",en,"指责","verb","He was accused of stealing.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
1182,"acerbic",en,"尖刻的，辛辣的","adjective","His acerbic comments offended many.","GRE",0,2025-11-06 05:15:54,2025-11-06 05:15:54
517,"achieve",en,"实现","verb","She worked hard to achieve her dreams.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
518,"acid",en,"酸","noun","Vinegar contains acetic acid.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
519,"acknowledge",en,"承认","verb","He acknowledged his mistake.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
520,"acquire",en,"获得","verb","She acquired new skills quickly.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
449,"acquisition",en,"获得，收购","noun","The company announced the acquisition of a smaller firm.","六级",0,2025-11-06 05:12:58,2025-11-06 05:12:58
521,"across",en,"穿过","preposition","We walked across the bridge.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
335,"act",en,"行动，表演","verb","We must act quickly to solve this problem.","",3,2025-11-04 03:53:43,2025-11-05 15:19:07
391,"action",en,"行动，行为，动作","noun","The government must take action to solve this problem.","",2,2025-11-05 15:19:07,2025-11-05 15:19:07
297,"active",en,"活跃的；积极的；主动的","adjective","She maintains an active lifestyle with regular exercise.","",3,2025-11-04 03:53:43,2025-11-05 15:19:07
522,"activity",en,"活动","noun","The school offers many extracurricular activities.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
314,"actual",en,"实际的；真实的","adjective","The actual cost was higher than we expected.","",3,2025-11-04 03:53:43,2025-11-05 15:19:07
412,"actually",en,"实际上，事实上","adverb","I thought he was French, but actually he's Belgian.","",2,2025-11-05 15:19:07,2025-11-05 15:19:07
1088,"acumen",en,"敏锐，聪明","noun","Her business acumen helped the company grow.","GRE",0,2025-11-06 05:15:54,2025-11-06 05:15:54
523,"adapt",en,"适应","verb","Animals adapt to their environment.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
759,"adaptation",en,"适应，改编","noun","The film is an adaptation of a famous novel.","六级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
524,"add",en,"添加","verb","Please add sugar to the tea.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
525,"addict",en,"上瘾者","noun","He is a drug addict.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
526,"addition",en,"加法","noun","The child is learning addition in math.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
527,"address",en,"地址","noun","What is your home address?","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
528,"adequate",en,"足够的","adjective","The food supply is adequate for the trip.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
641,"adjacent",en,"邻近的，毗连的","adjective","The park is adjacent to the school.","六级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
529,"adjust",en,"调整","verb","You need to adjust the settings.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
760,"adjustment",en,"调整，调节","noun","She made a small adjustment to the plan.","六级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
530,"administration",en,"管理","noun","The administration of the company is efficient.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
531,"admire",en,"钦佩","verb","I admire her courage.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
532,"admit",en,"承认","verb","He admitted that he was wrong.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
1089,"admonish",en,"告诫，警告","verb","The teacher admonished the student for being late.","GRE",0,2025-11-06 05:15:54,2025-11-06 05:15:54
209,"adolescence",en,"青春期","noun","Many changes occur during adolescence.","",7,2025-11-02 16:53:45,2025-11-05 15:19:07
299,"adolescent",en,"青少年；青春期的","noun/adjective","Adolescent development involves many physical and emotional changes.","",3,2025-11-04 03:53:43,2025-11-05 15:19:07
533,"adopt",en,"采用","verb","The company adopted a new policy.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
1090,"adroit",en,"灵巧的，熟练的","adjective","She is adroit at solving puzzles.","GRE",0,2025-11-06 05:15:54,2025-11-06 05:15:54
534,"adult",en,"成年人","noun","Only adults are allowed to vote.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
535,"advance",en,"前进","verb","The army advanced toward the enemy.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
536,"advantage",en,"优势","noun","Her experience gives her an advantage.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
537,"adventure",en,"冒险","noun","They went on an adventure in the jungle.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
450,"adverse",en,"不利的，有害的","adjective","The drug has no adverse effects.","六级",0,2025-11-06 05:12:58,2025-11-06 05:12:58
538,"advertise",en,"广告","verb","They advertise their products on TV.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
539,"advice",en,"建议","noun","She gave me good advice.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
540,"advise",en,"建议","verb","I advise you to study hard.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
451,"advocate",en,"提倡，拥护者","verb","She advocates for environmental protection.","六级",0,2025-11-06 05:12:58,2025-11-06 05:12:58
452,"aesthetic",en,"美学的，审美的","adjective","The building has a modern aesthetic design.","六级",0,2025-11-06 05:12:58,2025-11-06 05:12:58
541,"affair",en,"事务","noun","The minister handled the affair carefully.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
542,"affect",en,"影响","verb","The weather can affect your mood.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
642,"affection",en,"喜爱，感情","noun","She showed affection for her pet.","六级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
453,"affiliate",en,"附属机构，使隶属","noun","The university has many affiliate colleges.","六级",0,2025-11-06 05:12:58,2025-11-06 05:12:58
698,"affluent",en,"富裕的，丰富的","adjective","They live in an affluent neighborhood.","六级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
543,"afford",en,"负担得起","verb","I can't afford a new car.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
544,"afraid",en,"害怕的","adjective","She is afraid of spiders.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
545,"after",en,"在...之后","preposition","We will meet after the movie.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
546,"afternoon",en,"下午","noun","I have a meeting in the afternoon.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
547,"again",en,"再次","adverb","Please say that again.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
548,"against",en,"反对","preposition","They are against the proposal.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
549,"age",en,"年龄","noun","What is your age?","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
550,"agency",en,"机构","noun","She works for a travel agency.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
551,"agenda",en,"议程","noun","The meeting agenda is full.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
552,"agent",en,"代理人","noun","He is a real estate agent.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
699,"aggravate",en,"加重，恶化","verb","Smoking can aggravate health problems.","六级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
454,"aggregate",en,"总计，集合","noun","The aggregate score was 100 points.","六级",0,2025-11-06 05:12:58,2025-11-06 05:12:58
394,"aggressive",en,"侵略性的，有进取心的","adjective","The company has an aggressive marketing strategy.","",2,2025-11-05 15:19:07,2025-11-05 15:19:07
553,"ago",en,"以前","adverb","He left ten minutes ago.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
554,"agree",en,"同意","verb","I agree with your opinion.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
555,"agreement",en,"协议","noun","They signed a business agreement.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
556,"agriculture",en,"农业","noun","Agriculture is important for the economy.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
557,"ahead",en,"在前面","adverb","The road ahead is clear.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
558,"aid",en,"援助","noun","The country received foreign aid.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
559,"aim",en,"目标","noun","His aim is to become a doctor.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
403,"air",en,"空气；大气","noun","The fresh morning air felt invigorating.","",2,2025-11-05 15:19:07,2025-11-05 15:19:07
560,"aircraft",en,"飞机","noun","The aircraft landed safely.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
561,"airline",en,"航空公司","noun","I booked a flight with that airline.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
562,"airport",en,"机场","noun","We arrived at the airport early.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
1091,"alacrity",en,"敏捷，乐意","noun","He accepted the offer with alacrity.","GRE",0,2025-11-06 05:15:54,2025-11-06 05:15:54
563,"alarm",en,"警报","noun","The fire alarm woke everyone up.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
966,"albeit",en,"尽管，虽然","conjunction","He agreed, albeit reluctantly.","托福",0,2025-11-06 05:15:54,2025-11-06 05:15:54
564,"alcohol",en,"酒精","noun","He doesn't drink alcohol.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
565,"alert",en,"警觉的","adjective","The guard is always alert.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
1082,"algorithm",en,"算法","noun","The computer uses an algorithm to solve problems.","雅思",0,2025-11-06 05:15:54,2025-11-06 05:15:54
635,"alien",en,"外国的","adjective","The culture seemed alien to him.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
566,"alive",en,"活着的","adjective","The plant is still alive.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
567,"all",en,"所有的","adjective","All students must attend the lecture.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
636,"allege",en,"声称","verb","He alleged that he was innocent.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
455,"alleviate",en,"减轻，缓解","verb","This medicine can alleviate pain.","六级",0,2025-11-06 05:12:58,2025-11-06 05:12:58
588,"alliance",en,"联盟","noun","The two countries formed an alliance.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
637,"allocate",en,"分配","verb","We need to allocate resources wisely.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
568,"allow",en,"允许","verb","My parents allow me to go out.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
638,"ally",en,"盟友","noun","The two countries are allies.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
569,"almost",en,"几乎","adverb","I almost forgot your birthday.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
570,"alone",en,"单独的","adjective","She lives alone in the apartment.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
571,"along",en,"沿着","preposition","We walked along the river.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
572,"aloud",en,"大声地","adverb","Please read the text aloud.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
573,"already",en,"已经","adverb","He has already finished his homework.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
574,"also",en,"也","adverb","She is also a talented musician.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
575,"alter",en,"改变","verb","We need to alter our plans.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
576,"alternative",en,"替代的","adjective","We are looking for alternative solutions.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
577,"although",en,"虽然","conjunction","Although it was raining, we went out.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
578,"altogether",en,"完全","adverb","The idea is altogether wrong.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
579,"always",en,"总是","adverb","He always arrives on time.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
290,"am",en,"是（be动词第一人称单数现在式）","verb","I am a student.","",3,2025-11-04 03:53:43,2025-11-05 15:19:07
580,"amaze",en,"使惊讶","verb","The magic trick amazed the audience.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
456,"ambiguous",en,"模糊的，不明确的","adjective","His answer was ambiguous and confusing.","六级",0,2025-11-06 05:12:58,2025-11-06 05:12:58
581,"ambition",en,"雄心","noun","Her ambition is to become a leader.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
457,"ambitious",en,"有雄心的，野心勃勃的","adjective","She has ambitious plans for her career.","六级",0,2025-11-06 05:12:58,2025-11-06 05:12:58
1092,"ameliorate",en,"改善，改进","verb","We need to ameliorate the situation.","GRE",0,2025-11-06 05:15:54,2025-11-06 05:15:54
458,"amend",en,"修改，修正","verb","They decided to amend the contract.","六级",0,2025-11-06 05:12:58,2025-11-06 05:12:58
582,"among",en,"在...之中","preposition","She is among the best students.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
322,"amount",en,"数量；总额","noun","The amount of rainfall this year is exceptional.","",3,2025-11-04 03:53:43,2025-11-05 15:19:07
411,"ample",en,"充足的，丰富的","adjective","We have ample time to finish the project.","",2,2025-11-05 15:19:07,2025-11-05 15:19:07
741,"amplify",en,"放大，增强","verb","The microphone amplifies sound.","六级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
583,"amuse",en,"使娱乐","verb","The clown amused the children.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
266,"an",en,"一个（用于元音音素前）","article","She ate an apple for breakfast.","",3,2025-11-04 03:53:43,2025-11-05 15:19:07
1093,"anachronism",en,"时代错误","noun","The clock in the movie was an anachronism.","GRE",0,2025-11-06 05:15:54,2025-11-06 05:15:54
459,"analogy",en,"类比，相似","noun","He used an analogy to explain the concept.","六级",0,2025-11-06 05:12:58,2025-11-06 05:12:58
1009,"analysis",en,"分析","noun","The analysis of the data took several hours.","雅思",0,2025-11-06 05:15:54,2025-11-06 05:15:54
584,"analyze",en,"分析","verb","We need to analyze the data carefully.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
343,"ancestor",en,"祖先，祖宗","noun","My ancestors came from Ireland.","",3,2025-11-04 03:53:43,2025-11-05 15:19:07
300,"ancient",en,"古代的；古老的","adjective","We studied ancient civilizations in history class.","",3,2025-11-04 03:53:43,2025-11-05 15:19:07
276,"and",en,"和，与","conjunction","I like coffee and tea.","",3,2025-11-04 03:53:43,2025-11-05 15:19:07
700,"anecdote",en,"轶事，趣闻","noun","He told an amusing anecdote.","六级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
585,"anger",en,"愤怒","noun","His anger was obvious.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
586,"angle",en,"角度","noun","The camera was set at a low angle.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
587,"animal",en,"动物","noun","The zoo has many animals.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
643,"anniversary",en,"周年纪念","noun","They celebrated their wedding anniversary.","六级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
589,"announce",en,"宣布","verb","They announced the winner.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
590,"annoy",en,"使烦恼","verb","The noise annoys me.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
591,"annual",en,"每年的","adjective","We have an annual meeting.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
791,"anomaly",en,"异常，反常","noun","The test results showed an anomaly that needs investigation.","托福",0,2025-11-06 05:15:54,2025-11-06 05:15:54
701,"anonymous",en,"匿名的，无名的","adjective","The donation was anonymous.","六级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
460,"anticipate",en,"预期，预料","verb","We anticipate a positive response.","六级",0,2025-11-06 05:12:58,2025-11-06 05:12:58
1094,"antipathy",en,"反感，厌恶","noun","He felt antipathy towards his rival.","GRE",0,2025-11-06 05:15:54,2025-11-06 05:15:54
291,"ants",en,"蚂蚁（复数）","noun","There are many ants in the garden.","",1,2025-11-04 03:53:43,2025-11-04 03:53:43
592,"anxiety",en,"焦虑","noun","She felt anxiety before the test.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
1095,"apathy",en,"冷漠，无兴趣","noun","Her apathy towards politics was evident.","GRE",0,2025-11-06 05:15:54,2025-11-06 05:15:54
1096,"apocryphal",en,"伪造的，可疑的","adjective","The story is apocryphal.","GRE",0,2025-11-06 05:15:54,2025-11-06 05:15:54
593,"apologize",en,"道歉","verb","He apologized for being late.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
743,"apology",en,"道歉，认错","noun","She offered a sincere apology for her mistake.","六级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
702,"apparatus",en,"器械，设备","noun","The laboratory has modern apparatus.","六级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
594,"apparent",en,"明显的","adjective","It was apparent that he was lying.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
595,"appeal",en,"呼吁","verb","They appealed for help.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
596,"appear",en,"出现","verb","The sun appeared from behind the clouds.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
967,"append",en,"附加，添加","verb","Please append your signature here.","托福",0,2025-11-06 05:15:54,2025-11-06 05:15:54
597,"appetite",en,"食欲","noun","He has a good appetite.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
598,"applaud",en,"鼓掌","verb","The audience applauded the performance.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
703,"appliance",en,"器具，装置","noun","Modern appliances save time.","六级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
704,"applicable",en,"适用的，合适的","adjective","This rule is applicable to all.","六级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
768,"applicant",en,"申请人","noun","There were many applicants for the job.","六级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
599,"apply",en,"申请","verb","She applied for a job.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
600,"appoint",en,"任命","verb","They appointed a new manager.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
601,"appreciate",en,"欣赏","verb","I appreciate your help.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
461,"apprehensive",en,"忧虑的，担心的","adjective","She felt apprehensive about the exam.","六级",0,2025-11-06 05:12:58,2025-11-06 05:12:58
602,"approach",en,"接近","verb","He approached the door slowly.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
1097,"approbation",en,"批准，认可","noun","The plan received approbation from the board.","GRE",0,2025-11-06 05:15:54,2025-11-06 05:15:54
603,"appropriate",en,"合适的","adjective","Wear appropriate clothing for the event.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
604,"approve",en,"批准","verb","The committee approved the proposal.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
605,"approximate",en,"近似的","adjective","Give me an approximate number.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
644,"arbitrary",en,"任意的，武断的","adjective","The decision seemed arbitrary.","六级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
1193,"arcane",en,"神秘的，晦涩的","adjective","He studied arcane texts.","GRE",0,2025-11-06 05:15:54,2025-11-06 05:15:54
705,"architect",en,"建筑师","noun","The architect designed the building.","六级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
1098,"arduous",en,"艰巨的，费力的","adjective","The journey was arduous.","GRE",0,2025-11-06 05:15:54,2025-11-06 05:15:54
784,"area",en,"区域，领域","noun","This area is reserved for parking.","托福",0,2025-11-06 05:15:54,2025-11-06 05:15:54
606,"argue",en,"争论","verb","They argued about politics.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
815,"argument",en,"论点","noun","His argument was well-supported.","托福",0,2025-11-06 05:15:54,2025-11-06 05:15:54
607,"arise",en,"出现","verb","Problems may arise during the project.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
608,"arouse",en,"唤起","verb","The story aroused her curiosity.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
609,"arrange",en,"安排","verb","She arranged the meeting.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
610,"arrest",en,"逮捕","verb","The police arrested the suspect.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
639,"arrive",en,"到达","verb","They arrive at the station.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
462,"articulate",en,"清晰地表达","verb","He can articulate his ideas well.","六级",0,2025-11-06 05:12:58,2025-11-06 05:12:58
611,"artificial",en,"人造的","adjective","The flowers are artificial.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
381,"as",en,"作为；如同；当...时","conjunction","She works as a teacher.","",2,2025-11-05 15:19:07,2025-11-05 15:19:07
387,"ascend",en,"上升，攀登","verb","The hikers began to ascend the mountain at dawn.","",2,2025-11-05 15:19:07,2025-11-05 15:19:07
463,"ascertain",en,"查明，确定","verb","We need to ascertain the facts.","六级",0,2025-11-06 05:12:58,2025-11-06 05:12:58
1099,"ascetic",en,"禁欲的，苦行的","adjective","He lived an ascetic life.","GRE",0,2025-11-06 05:15:54,2025-11-06 05:15:54
769,"ascribe",en,"归因于","verb","He ascribed his success to hard work.","六级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
612,"ashamed",en,"羞愧的","adjective","He felt ashamed of his behavior.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
613,"aspect",en,"方面","noun","Consider every aspect of the problem.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
464,"aspiration",en,"渴望，抱负","noun","Her aspiration is to become a doctor.","六级",0,2025-11-06 05:12:58,2025-11-06 05:12:58
706,"aspire",en,"渴望，立志","verb","He aspires to be a doctor.","六级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
614,"assemble",en,"组装","verb","They assembled the furniture.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
465,"assert",en,"断言，主张","verb","He asserted his innocence.","六级",0,2025-11-06 05:12:58,2025-11-06 05:12:58
258,"assess",en,"评估，评定","verb","The teacher will assess the students' projects tomorrow.","",3,2025-11-04 03:53:43,2025-11-05 15:19:07
645,"asset",en,"资产，优点","noun","Her experience is a valuable asset.","六级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
1100,"assiduous",en,"勤勉的，刻苦的","adjective","She is assiduous in her studies.","GRE",0,2025-11-06 05:15:54,2025-11-06 05:15:54
615,"assign",en,"分配","verb","The teacher assigned homework.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
466,"assimilate",en,"吸收，同化","verb","It takes time to assimilate new information.","六级",0,2025-11-06 05:12:58,2025-11-06 05:12:58
616,"assist",en,"协助","verb","Can you assist me with this task?","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
744,"associate",en,"联系，伙伴","verb","People often associate rain with sadness.","六级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
617,"assume",en,"假设","verb","Let's assume he is right.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
816,"assumption",en,"假设","noun","The theory is based on a false assumption.","托福",0,2025-11-06 05:15:54,2025-11-06 05:15:54
721,"assurance",en,"保证，确信","noun","He gave me his assurance that it would be done.","六级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
618,"assure",en,"保证","verb","I assure you it will be fine.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
640,"astonish",en,"使惊讶","verb","The news astonished everyone.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
